Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulerisanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiulerisanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Int+2Sg	Aasiammiulerisanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+GALUAR+V+Par+1Sg	Aasiammiulerisanngikkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Ind+1Pl	Aasiammiulerisanngilagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Ind+1Sg	Aasiammiulerisanngilanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Ind+3Sg	Aasiammiulerisanngilaq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Int+2Sg	Aasiammiulerisanngilatit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Par+1Sg	Aasiammiulerisanngitsunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Par+1Sg+LI	Aasiammiulerisanngitsungali
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+NNGIT+V+Par+1Sg+LU	Aasiammiulerisanngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+V+Ind+1Pl	Aasiammiulerisarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+V+Ind+1Sg	Aasiammiulerisarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+V+Ind+3Sg	Aasiammiulerisarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+V+Int+2Sg	Aasiammiulerisarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TAR+V+Par+1Sg	Aasiammiulerisartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+GALUAR+V+Ind+1Pl	Aasiammiulerisariaqaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+GALUAR+V+Ind+1Sg	Aasiammiulerisariaqaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+GALUAR+V+Ind+3Sg	Aasiammiulerisariaqaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+GALUAR+V+Int+2Sg	Aasiammiulerisariaqaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+GALUAR+V+Par+1Sg	Aasiammiulerisariaqaraluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulerisariaqanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulerisariaqanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiulerisariaqanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+GALUAR+V+Int+2Sg	Aasiammiulerisariaqanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+GALUAR+V+Par+1Sg	Aasiammiulerisariaqanngikkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Ind+1Pl	Aasiammiulerisariaqanngilagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Ind+1Sg	Aasiammiulerisariaqanngilanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Ind+3Sg	Aasiammiulerisariaqanngilaq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Int+2Sg	Aasiammiulerisariaqanngilatit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Par+1Sg	Aasiammiulerisariaqanngitsunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Par+1Sg+LI	Aasiammiulerisariaqanngitsungali
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+NNGIT+V+Par+1Sg+LU	Aasiammiulerisariaqanngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+GALUAR+V+Ind+1Pl	Aasiammiulerisariaqassagaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+GALUAR+V+Ind+1Sg	Aasiammiulerisariaqassagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+GALUAR+V+Ind+3Sg	Aasiammiulerisariaqassagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+GALUAR+V+Int+2Sg	Aasiammiulerisariaqassagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+GALUAR+V+Par+1Sg	Aasiammiulerisariaqassagaluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Ind+1Pl	Aasiammiulerisariaqassanngilagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Ind+1Sg	Aasiammiulerisariaqassanngilanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Ind+3Sg	Aasiammiulerisariaqassanngilaq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Int+2Sg	Aasiammiulerisariaqassanngilatit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Par+1Sg	Aasiammiulerisariaqassanngitsunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Par+1Sg+LI	Aasiammiulerisariaqassanngitsungali
